RefMol,EF1%,BEDROC,Target,n_neighbors,metric
ligand_CHEMBL35316,4.550226244343891,0.3015654130882185,ADA,100,cosine
ligand_CHEMBL36986,1.516742081447964,0.0638304795467049,ADA,100,cosine
ligand_CHEMBL37183,3.033484162895928,0.1771899529666252,ADA,100,cosine
ligand_CHEMBL38218,3.033484162895928,0.1736286229105821,ADA,100,cosine
ligand_CHEMBL38306,0.0,0.0722627789507073,ADA,100,cosine
ligand_CHEMBL405920,3.033484162895928,0.0671187915862264,ADA,100,cosine
ligand_CHEMBL418074,16.684162895927603,0.2622994020200511,ADA,100,cosine
ligand_CHEMBL436332,1.516742081447964,0.085032206340029,ADA,100,cosine
ligand_CHEMBL604966,9.100452488687782,0.2592994353818741,ADA,100,cosine
ligand_CHEMBL81378,15.167420814479636,0.2823485548232981,ADA,100,cosine
ligand_CHEMBL101740,3.120833333333333,0.1069731299598703,ADRB2,10,euclidean
ligand_CHEMBL1077273,4.68125,0.1651372467336628,ADRB2,10,euclidean
ligand_CHEMBL1083668,1.5604166666666666,0.1521658472013183,ADRB2,10,euclidean
ligand_CHEMBL1083669,1.5604166666666666,0.1540989929728422,ADRB2,10,euclidean
ligand_CHEMBL1221541,7.802083333333333,0.1726546262034565,ADRB2,10,euclidean
ligand_CHEMBL140908,6.241666666666666,0.1412788268607363,ADRB2,10,euclidean
ligand_CHEMBL143463,1.5604166666666666,0.0678184638034887,ADRB2,10,euclidean
ligand_CHEMBL229401,4.68125,0.1080521605800155,ADRB2,10,euclidean
ligand_CHEMBL236514,0.0,0.0410580802752798,ADRB2,10,euclidean
ligand_CHEMBL27,3.120833333333333,0.165929337028753,ADRB2,10,euclidean
ligand_CHEMBL29141,7.802083333333333,0.1720792756347313,ADRB2,10,euclidean
ligand_CHEMBL320761,4.68125,0.113879790483737,ADRB2,10,euclidean
ligand_CHEMBL368457,3.120833333333333,0.1417570861316507,ADRB2,10,euclidean
ligand_CHEMBL39915,4.68125,0.1147045998702439,ADRB2,10,euclidean
ligand_CHEMBL417325,1.5604166666666666,0.0740446455796411,ADRB2,10,euclidean
ligand_CHEMBL513104,1.5604166666666666,0.1275084282136802,ADRB2,10,euclidean
ligand_CHEMBL513389,3.120833333333333,0.0766442068761483,ADRB2,10,euclidean
ligand_CHEMBL57185,0.0,0.1108714234759536,ADRB2,10,euclidean
ligand_CHEMBL72,1.5604166666666666,0.1015065527214516,ADRB2,10,euclidean
ligand_CHEMBL98773,1.5604166666666666,0.1795357205372493,ADRB2,10,euclidean
ligand_CHEMBL101740,7.802083333333333,0.150840688273809,ADRB2,10,cosine
ligand_CHEMBL1077273,1.5604166666666666,0.0984011430965801,ADRB2,10,cosine
ligand_CHEMBL1083668,3.120833333333333,0.1577685484998495,ADRB2,10,cosine
ligand_CHEMBL1083669,1.5604166666666666,0.0797309125854136,ADRB2,10,cosine
ligand_CHEMBL1221541,4.68125,0.1014146257857645,ADRB2,10,cosine
ligand_CHEMBL140908,6.241666666666666,0.178377129040378,ADRB2,10,cosine
ligand_CHEMBL143463,0.0,0.0543442651630374,ADRB2,10,cosine
ligand_CHEMBL229401,7.802083333333333,0.1667157932917754,ADRB2,10,cosine
ligand_CHEMBL236514,0.0,0.0248492530327577,ADRB2,10,cosine
ligand_CHEMBL27,3.120833333333333,0.1212266774832662,ADRB2,10,cosine
ligand_CHEMBL29141,10.922916666666667,0.2260927536922384,ADRB2,10,cosine
ligand_CHEMBL320761,6.241666666666666,0.1246363517111106,ADRB2,10,cosine
ligand_CHEMBL368457,4.68125,0.1332409993908803,ADRB2,10,cosine
ligand_CHEMBL39915,4.68125,0.110353733901365,ADRB2,10,cosine
ligand_CHEMBL417325,0.0,0.0503690945081527,ADRB2,10,cosine
ligand_CHEMBL513104,4.68125,0.1693622733007623,ADRB2,10,cosine
ligand_CHEMBL513389,0.0,0.0315858480276058,ADRB2,10,cosine
ligand_CHEMBL57185,1.5604166666666666,0.0982629752820642,ADRB2,10,cosine
ligand_CHEMBL72,0.0,0.1002009894174555,ADRB2,10,cosine
ligand_CHEMBL98773,0.0,0.1177718559215906,ADRB2,10,cosine
ligand_CHEMBL101740,3.120833333333333,0.0897156909421097,ADRB2,50,euclidean
ligand_CHEMBL1077273,1.5604166666666666,0.1457150819050597,ADRB2,50,euclidean
ligand_CHEMBL1083668,4.68125,0.1440595108445621,ADRB2,50,euclidean
ligand_CHEMBL1083669,0.0,0.1217285015052382,ADRB2,50,euclidean
ligand_CHEMBL1221541,9.3625,0.1995498042509114,ADRB2,50,euclidean
ligand_CHEMBL140908,4.68125,0.1540927104313192,ADRB2,50,euclidean
ligand_CHEMBL143463,1.5604166666666666,0.0480015060909913,ADRB2,50,euclidean
ligand_CHEMBL229401,4.68125,0.1355478125798014,ADRB2,50,euclidean
ligand_CHEMBL236514,3.120833333333333,0.09807572415847,ADRB2,50,euclidean
ligand_CHEMBL27,7.802083333333333,0.1839156573466961,ADRB2,50,euclidean
ligand_CHEMBL29141,10.922916666666667,0.1956011432439025,ADRB2,50,euclidean
ligand_CHEMBL320761,3.120833333333333,0.1324799437315245,ADRB2,50,euclidean
ligand_CHEMBL368457,3.120833333333333,0.1321949835202704,ADRB2,50,euclidean
ligand_CHEMBL39915,6.241666666666666,0.1645740899110307,ADRB2,50,euclidean
ligand_CHEMBL417325,0.0,0.0654432686107101,ADRB2,50,euclidean
ligand_CHEMBL513104,1.5604166666666666,0.0967326793209413,ADRB2,50,euclidean
ligand_CHEMBL513389,1.5604166666666666,0.0758581755897171,ADRB2,50,euclidean
ligand_CHEMBL57185,0.0,0.0949401897411573,ADRB2,50,euclidean
ligand_CHEMBL72,4.68125,0.0864853601107637,ADRB2,50,euclidean
ligand_CHEMBL98773,3.120833333333333,0.1373469987402145,ADRB2,50,euclidean
ligand_CHEMBL101740,3.120833333333333,0.125083010989311,ADRB2,50,cosine
ligand_CHEMBL1077273,3.120833333333333,0.10018318429672,ADRB2,50,cosine
ligand_CHEMBL1083668,1.5604166666666666,0.1237461445918403,ADRB2,50,cosine
ligand_CHEMBL1083669,3.120833333333333,0.0864446654276698,ADRB2,50,cosine
ligand_CHEMBL1221541,3.120833333333333,0.1215385039278159,ADRB2,50,cosine
ligand_CHEMBL140908,9.3625,0.2115919850266591,ADRB2,50,cosine
ligand_CHEMBL143463,0.0,0.0656131996685327,ADRB2,50,cosine
ligand_CHEMBL229401,4.68125,0.1347639087210448,ADRB2,50,cosine
ligand_CHEMBL236514,1.5604166666666666,0.067454358074363,ADRB2,50,cosine
ligand_CHEMBL27,6.241666666666666,0.1538626030889893,ADRB2,50,cosine
ligand_CHEMBL29141,10.922916666666667,0.2637657050409611,ADRB2,50,cosine
ligand_CHEMBL320761,1.5604166666666666,0.1424009416473197,ADRB2,50,cosine
ligand_CHEMBL368457,4.68125,0.174345829114682,ADRB2,50,cosine
ligand_CHEMBL39915,12.483333333333333,0.2237182016043935,ADRB2,50,cosine
ligand_CHEMBL417325,0.0,0.0700436196735191,ADRB2,50,cosine
ligand_CHEMBL513104,4.68125,0.1730809591877357,ADRB2,50,cosine
ligand_CHEMBL513389,0.0,0.0433871315127384,ADRB2,50,cosine
ligand_CHEMBL57185,0.0,0.0695345865818747,ADRB2,50,cosine
ligand_CHEMBL72,1.5604166666666666,0.090757749438109,ADRB2,50,cosine
ligand_CHEMBL98773,0.0,0.1001828123618167,ADRB2,50,cosine
ligand_CHEMBL101740,3.120833333333333,0.1157543002157965,ADRB2,100,euclidean
ligand_CHEMBL1077273,1.5604166666666666,0.1491850304064684,ADRB2,100,euclidean
ligand_CHEMBL1083668,4.68125,0.122371820063688,ADRB2,100,euclidean
ligand_CHEMBL1083669,3.120833333333333,0.1262383226377992,ADRB2,100,euclidean
ligand_CHEMBL1221541,7.802083333333333,0.2076333695804352,ADRB2,100,euclidean
ligand_CHEMBL140908,9.3625,0.2030849261271383,ADRB2,100,euclidean
ligand_CHEMBL143463,1.5604166666666666,0.0664734382206879,ADRB2,100,euclidean
ligand_CHEMBL229401,3.120833333333333,0.1222621043475133,ADRB2,100,euclidean
ligand_CHEMBL236514,0.0,0.0461139906417877,ADRB2,100,euclidean
ligand_CHEMBL27,7.802083333333333,0.1992442619492148,ADRB2,100,euclidean
ligand_CHEMBL29141,12.483333333333333,0.2187665447838948,ADRB2,100,euclidean
ligand_CHEMBL320761,4.68125,0.1175544601683424,ADRB2,100,euclidean
ligand_CHEMBL368457,6.241666666666666,0.1568694008180094,ADRB2,100,euclidean
ligand_CHEMBL39915,9.3625,0.2017404524248879,ADRB2,100,euclidean
ligand_CHEMBL417325,1.5604166666666666,0.0622261060404027,ADRB2,100,euclidean
ligand_CHEMBL513104,1.5604166666666666,0.1262700725366658,ADRB2,100,euclidean
ligand_CHEMBL513389,0.0,0.0682722543388072,ADRB2,100,euclidean
ligand_CHEMBL57185,0.0,0.104205802408614,ADRB2,100,euclidean
ligand_CHEMBL72,3.120833333333333,0.1106318734480962,ADRB2,100,euclidean
ligand_CHEMBL98773,1.5604166666666666,0.0966966330308208,ADRB2,100,euclidean
ligand_CHEMBL101740,1.5604166666666666,0.1040864712243287,ADRB2,100,cosine
ligand_CHEMBL1077273,4.68125,0.1220153095753261,ADRB2,100,cosine
ligand_CHEMBL1083668,0.0,0.1663273799676242,ADRB2,100,cosine
ligand_CHEMBL1083669,1.5604166666666666,0.0882648004544211,ADRB2,100,cosine
ligand_CHEMBL1221541,3.120833333333333,0.1546594669184653,ADRB2,100,cosine
ligand_CHEMBL140908,10.922916666666667,0.2628688639633279,ADRB2,100,cosine
ligand_CHEMBL143463,3.120833333333333,0.0843994392530655,ADRB2,100,cosine
ligand_CHEMBL229401,1.5604166666666666,0.1273501980639093,ADRB2,100,cosine
ligand_CHEMBL236514,0.0,0.0731511867152366,ADRB2,100,cosine
ligand_CHEMBL27,7.802083333333333,0.1779619264286725,ADRB2,100,cosine
ligand_CHEMBL29141,6.241666666666666,0.2256126925047394,ADRB2,100,cosine
ligand_CHEMBL320761,3.120833333333333,0.165564241629342,ADRB2,100,cosine
ligand_CHEMBL368457,4.68125,0.1933543789357683,ADRB2,100,cosine
ligand_CHEMBL39915,14.04375,0.2656399089843737,ADRB2,100,cosine
